Borough,Date,Neighborhood,Test Positive Rate,Total Positive Cases,Total Tested Cases,ZIPCODE,zcta_cum.perc_pos
Queens,2020-04-01,Northwest Queens,0.496551724,144,290,11106,
Brooklyn,2020-04-01,Northwest Brooklyn,0.425887265,204,479,11201,
Brooklyn,2020-04-01,Flatbush,0.628205128,343,546,11203,
Brooklyn,2020-04-01,Borough Park,0.5729613729999999,534,932,11204,
Brooklyn,2020-04-01,Northwest Brooklyn,0.570532915,182,319,11205,
Brooklyn,2020-04-01,Bushwick and Williamsburg,0.575174825,329,572,11206,
Brooklyn,2020-04-01,East New York and New Lots,0.565587734,332,587,11207,
Brooklyn,2020-04-01,East New York and New Lots,0.6238859179999999,350,561,11208,
Brooklyn,2020-04-01,Southwest Brooklyn,0.462389381,209,452,11209,
Brooklyn,2020-04-01,Flatbush,0.575260805,386,671,11210,
Brooklyn,2020-04-01,Greenpoint,0.625390219,601,961,11211,
Brooklyn,2020-04-01,Central Brooklyn,0.570786517,254,445,11212,
Brooklyn,2020-04-01,Central Brooklyn,0.634460548,394,621,11213,
Brooklyn,2020-04-01,Southwest Brooklyn,0.461397059,251,544,11214,
Brooklyn,2020-04-01,Northwest Brooklyn,0.407322654,178,437,11215,
Brooklyn,2020-04-01,Central Brooklyn,0.5126582279999999,162,316,11216,
Brooklyn,2020-04-01,Northwest Brooklyn,0.483271375,130,269,11217,
Brooklyn,2020-04-01,Borough Park,0.57096248,350,613,11218,
Brooklyn,2020-04-01,Borough Park,0.672774869,771,1146,11219,
Brooklyn,2020-04-01,Sunset Park,0.575163399,264,459,11220,
Brooklyn,2020-04-01,Bushwick and Williamsburg,0.571428571,260,455,11221,
Brooklyn,2020-04-01,Greenpoint,0.406779661,96,236,11222,
Brooklyn,2020-04-01,Southern Brooklyn,0.53894081,346,642,11223,
Brooklyn,2020-04-01,Southern Brooklyn,0.4375,133,304,11224,
Brooklyn,2020-04-01,Flatbush,0.62529274,267,427,11225,
Brooklyn,2020-04-01,Flatbush,0.573333333,344,600,11226,
Brooklyn,2020-04-01,Southwest Brooklyn,0.454954955,101,222,11228,
Brooklyn,2020-04-01,Southern Brooklyn,0.49375,316,640,11229,
Brooklyn,2020-04-01,Borough Park,0.603250478,631,1046,11230,
Brooklyn,2020-04-01,Northwest Brooklyn,0.468634686,127,271,11231,
Brooklyn,2020-04-01,Sunset Park,0.566666667,85,150,11232,
Brooklyn,2020-04-01,Central Brooklyn,0.587467363,225,383,11233,
Brooklyn,2020-04-01,Canarsie and Flatlands,0.510518934,364,713,11234,
Brooklyn,2020-04-01,Southern Brooklyn,0.50877193,348,684,11235,
Brooklyn,2020-04-01,Canarsie and Flatlands,0.593437946,416,701,11236,
Brooklyn,2020-04-01,Bushwick and Williamsburg,0.638888889,184,288,11237,
Brooklyn,2020-04-01,Central Brooklyn,0.522857143,183,350,11238,
Brooklyn,2020-04-01,Canarsie and Flatlands,0.658914729,85,129,11239,
Queens,2020-04-01,North Queens,0.50625,162,320,11357,
Queens,2020-04-01,North Queens,0.492647059,134,272,11354,
Queens,2020-04-01,North Queens,0.585164835,213,364,11355,
Queens,2020-04-01,North Queens,0.486725664,110,226,11356,
Queens,2020-04-01,North Queens,0.47983871,119,248,11358,
Queens,2020-04-01,North Queens,0.385620915,59,153,11360,
Queens,2020-04-01,Northeast Queens,0.45212766,85,188,11361,
Queens,2020-04-01,Northeast Queens,0.447552448,64,143,11362,
Queens,2020-04-01,Northeast Queens,0.415384615,27,65,11363,
Queens,2020-04-01,Northeast Queens,0.513636364,113,220,11364,
Queens,2020-04-01,Central Queens,0.5320512820000001,166,312,11365,
Queens,2020-04-01,Central Queens,0.5792349729999999,106,183,11366,
Queens,2020-04-01,Central Queens,0.622309198,318,511,11367,
Queens,2020-04-01,West Queens,0.771801141,947,1227,11368,
Queens,2020-04-01,West Queens,0.72907489,331,454,11369,
Queens,2020-04-01,West Queens,0.486486486,378,777,11370,
Queens,2020-04-01,West Queens,0.70995671,492,693,11372,
Queens,2020-04-01,West Queens,0.723867596,831,1148,11373,
Queens,2020-04-01,West Central Queens,0.5962616820000001,319,535,11374,
Queens,2020-04-01,West Central Queens,0.498806683,418,838,11375,
Queens,2020-04-01,West Queens,0.579617834,364,628,11377,
Queens,2020-04-01,West Queens,0.547368421,156,285,11378,
Queens,2020-04-01,West Central Queens,0.541666667,195,360,11379,
Queens,2020-04-01,West Central Queens,0.559947299,425,759,11385,
Queens,2020-04-01,Southeast Queens,0.6832579190000001,151,221,11411,
Queens,2020-04-01,Jamaica,0.597560976,245,410,11412,
Queens,2020-04-01,Southeast Queens,0.604166667,261,432,11413,
Queens,2020-04-01,Southwest Queens,0.5046728970000001,162,321,11414,
Queens,2020-04-01,Southwest Queens,0.613168724,149,243,11415,
Queens,2020-04-01,Southwest Queens,0.632432432,117,185,11416,
