Borough,Date,Neighborhood,Positive,Test Positive Rate,Total,ZIPCODE,zcta_cum.perc_pos,,,,
Queens,0403,Southeast Queens,233,0.5825,400,11427,58.25,,,,
Queens,0403,Southeast Queens,167,0.662698413,252,11428,66.27,,,,
Queens,0403,Jamaica,536,0.667496887,803,11434,66.75,,,,
Queens,0403,Jamaica,448,0.630098453,711,11432,63.01,,,,
Queens,0403,Jamaica,226,0.656976744,344,11433,65.7,,,,
Queens,0403,Jamaica,409,0.597953216,684,11435,59.8,,,,
Queens,0403,Jamaica,137,0.668292683,205,11436,66.83,,,,
Queens,0403,Rockaways,616,0.665226782,926,11691,66.52,,,,
Queens,0403,Rockaways,155,0.630081301,246,11692,63.01,,,,
Queens,0403,Rockaways,116,0.613756614,189,11693,61.38,,,,
Queens,0403,Rockaways,188,0.538681948,349,11694,53.87,,,,
Queens,0403,Rockaways,30,0.422535211,71,11697,42.25,,,,
